site	primer	treatment	taxon	id	distance	abundance_log	abundance_CSS	abundance_DESeq2
BayfrontPark	F04R22	Pre	Oncholaimidae	4881	0.0280112044817927	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Oncholaimidae	9125	0.0140449438202247	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Oncholaimidae	10366	0.0280112044817927	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Oncholaimidae	4149	0.0234082397003745	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Oncholaimidae	12052	0.0140449438202247	-10.135848	0.43847	0.84567
BayfrontPark	F04R22	Pre	Oncholaimidae	22567	0.0140449438202247	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Post	Oncholaimidae	9125	0	-6.293419	2.99435	0.49222
BayfrontPark	F04R22	Post	Oncholaimidae	21753	0	-4.683981	3.3733	1.40792
BayfrontPark	F04R22	Post	Oncholaimidae	33173	0	-4.347509	4.3882	1.61852
BayfrontPark	F04R22	Post	Oncholaimidae	12052	0	-5.194807	3.0093	1.08812
BayfrontPark	F04R22	Pre	Tubificidae	39012	0.00808625336927224	-7.693501	1.7043	2.33402
BayfrontPark	F04R22	Pre	Tubificidae	14463	0.00808625336927224	-7.427798	1.89865	2.48557
BayfrontPark	F04R22	Pre	Tubificidae	24168	0.0188897792671378	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Tubificidae	23367	0.0134989436876229	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Post	Tubificidae	11101	0.00986387657111942	-6.293419	2.23875	0.49222
BayfrontPark	F04R22	Post	Tubificidae	33242	0.00986387657111942	-5.194807	3.0093	1.08812
BayfrontPark	F04R22	Post	Tubificidae	19699	0.00808625336927224	-6.293419	2.23875	0.49222
BayfrontPark	F04R22	Post	Tubificidae	11146	0.00986387657111942	-5.194807	3.7792	1.08812
BayfrontPark	F04R22	Pre	Saccharomycetaceae	13907	0.0028169014084507	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Saccharomycetaceae	7445	0.0028169014084507	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Post	Saccharomycetaceae	9805	0.00736648250460405	-4.501660	4.2773	1.52247
BayfrontPark	F04R22	Post	Saccharomycetaceae	33075	0.0147329650092081	-5.600272	2.72235	0.84567
BayfrontPark	F04R22	Post	Saccharomycetaceae	9289	0.00736648250460405	-3.654362	4.1117	2.04252
BayfrontPark	F04R22	Post	Saccharomycetaceae	30596	0.0147329650092081	-6.293419	2.99435	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	6938	0.0249307479224377	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	23115	0.0216864225343803	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	12838	0.0218716798762434	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	20672	0.0227920227920228	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	16376	0.0181098975920999	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	21208	0.019953558795122	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	26470	0.0155365433382314	-4.713104	3.80675	3.85162
BayfrontPark	F04R22	Pre	Xyalidae	18525	0.0195289408197849	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	14273	0.0160274559618004	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	22843	0.015836322104182	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	16275	0.0164120091387718	-10.135848	0.43847	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	4775	0.0222286569549702	-10.135848	0.43847	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	37408	0.0242751693972626	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	23446	0.0234902281875086	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	23750	0.0193905817174515	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	3947	0.021982114343725	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	34154	0.0228656894429055	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	12783	0.0169225512623249	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	30522	0.0227920227920228	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	34107	0.0179698300709611	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	8138	0.0155365433382314	-4.912794	3.64345	3.76077
BayfrontPark	F04R22	Pre	Xyalidae	40080	0.0175723438854604	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	19389	0.0196737365587136	-10.135848	0.43847	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	23207	0.0197702467410614	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	18523	0.0167587557799944	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	9270	0.0167587557799944	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	2611	0.0193551904623437	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	12742	0.0190398859880251	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	17683	0.0197893468160329	-10.828996	0.25806	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	37411	0.0155796081232766	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	22257	0.0160172836487769	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	20742	0.0184857825388409	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	23430	0.0137362637362637	-10.828996	0.25205	0.49222
BayfrontPark	F04R22	Pre	Xyalidae	37333	0.0152723927276432	-10.135848	0.447735	0.84567
BayfrontPark	F04R22	Pre	Xyalidae	16516	0.019399558838617	-10.828996	0.25205	0.49222
