site	primer	treatment	taxon	id	distance	abundance_log	abundance_CSS	abundance_DESeq2
ShellfishLab	F04R22	Post	Chromadoridae	29177	0.00840336134453781	-7.989899	2.8541	0.84567
ShellfishLab	F04R22	Post	Chromadoridae	2628	0.00840336134453781	-7.073609	3.26105	1.40792
ShellfishLab	F04R22	Post	Chromadoridae	19717	0.0168067226890756	-8.683047	2.13085	0.49222
ShellfishLab	F04R22	Post	Leptolaimidae	3041	0.0053475935828877	-6.285151	3.82555	1.89657
ShellfishLab	F04R22	Post	Leptolaimidae	28843	0.0107529989882931	-8.683047	2.13085	0.49222
ShellfishLab	F04R22	Post	Leptolaimidae	3852	0.00540540540540541	-6.285151	4.07245	1.89657
BayfrontPark	F04R22	Post	Tubificidae	11101	0.00986387657111942	-6.293419	2.23875	0.49222
BayfrontPark	F04R22	Post	Tubificidae	19699	0.00808625336927224	-6.293419	2.23875	0.49222
BayfrontPark	F04R22	Post	Tubificidae	33242	0.00986387657111942	-5.194807	3.0093	1.08812
BayfrontPark	F04R22	Post	Tubificidae	11146	0.00986387657111942	-5.194807	3.7792	1.08812
RyanCt	F04R22	Post	Otoplanidae	5258	0.00544959128065395	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Otoplanidae	436	0.0108991825613079	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Otoplanidae	9357	0.00544959128065395	-9.237015	1.86915	1.52247
RyanCt	F04R22	Post	Monocelididae	31258	0.0102168892993676	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Monocelididae	20408	0.00905674800306385	-6.752108	3.6103	2.96042
RyanCt	F04R22	Post	Monocelididae	21858	0.0102145606257103	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Monocelididae	4458	0.0146570942283103	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Monocelididae	31631	0.0194241795315077	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Monocelididae	17561	0.0195511874340191	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	23477	0.00905674800306385	-6.609934	3.6651	3.03397
RyanCt	F04R22	Post	Monocelididae	17843	0.0106918996757083	-10.335627	1.1395	0.84567
RyanCt	F04R22	Post	Monocelididae	8242	0.0169750987225907	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	847	0.0188688162052628	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	5877	0.0205856078334285	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	7273	0.017600528272544	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	14663	0.0114488942982086	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	40852	0.00849683007641994	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Monocelididae	39045	0.0274575569718783	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Otoplanidae	7078	0.00474438847649346	-7.594787	2.96215	2.50407
RyanCt	F04R22	Post	Otoplanidae	21034	0.00677874985271592	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Otoplanidae	12293	0.0149161953576058	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Otoplanidae	2372	0.00474438847649346	-7.365213	3.1721	2.63212
RyanCt	F04R22	Post	Otoplanidae	21401	0.00679347826086956	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Otoplanidae	11587	0.0231311455988627	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Otoplanidae	7602	0.0136202760336453	-10.335627	1.1774	0.84567
RyanCt	F04R22	Post	Otoplanidae	16836	0.0122282608695652	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Polycystididae	22952	0.0217983651226158	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Polycystididae	34768	0.0204508568961153	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Polycystididae	11498	0.0156128024980484	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Polycystididae	5982	0.0186703096539162	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Polycystididae	33509	0.0213653261069172	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Polycystididae	2237	0.0129502240883846	-6.794668	3.5798	2.93822
RyanCt	F04R22	Post	Polycystididae	28623	0.0129502240883846	-6.885640	3.46765	2.89047
RyanCt	F04R22	Post	Polycystididae	30059	0.0210368687609944	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Polycystididae	34066	0.0238605738449398	-10.335627	1.1774	0.84567
RyanCt	F04R22	Post	Polycystididae	31111	0.0177107100404797	-11.028774	0.77465	0.49222
RyanCt	F04R22	Post	Polycystididae	20756	0.00787417839150637	-6.684969	3.6584	2.99527
RyanCt	F04R22	Post	Polycystididae	13247	0.00787417839150637	-6.586123	3.6822	3.04622
RyanCt	F04R22	Post	Polycystididae	27146	0.0173279758915118	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Polycystididae	34965	0.0200741594154811	-10.335627	1.1774	0.84567
RyanCt	F04R22	Post	Polycystididae	22649	0.015167305159806	-11.028774	0.8062	0.49222
RyanCt	F04R22	Post	Polycystididae	23107	0.00789593932490429	-10.335627	1.1774	0.84567
RyanCt	F04R22	Post	Polycystididae	20743	0.0174959478826882	-11.028774	0.8062	0.49222
BelleairBlvd	F04R22	Post	Meruliaceae	40226	0.0100808282626464	-7.339538	2.8362	0.49222
BelleairBlvd	F04R22	Post	Meruliaceae	9080	0.0082442809715537	-6.240925	3.6192	1.08812
BelleairBlvd	F04R22	Post	Meruliaceae	30539	0.00642791551882461	-6.646391	2.76885	0.84567
BelleairBlvd	F04R22	Post	Meruliaceae	39165	0.0100808282626464	-7.339538	2.8362	0.49222
ShellfishLab	F04R22	Post	Saccharomycetaceae	38634	0.00549450549450549	-8.683047	2.3678	0.49222
ShellfishLab	F04R22	Post	Saccharomycetaceae	8373	0.00549450549450549	-8.683047	2.13085	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	13189	0.0142836092228339	-7.339538	2.28425	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	37772	0.00969841825383307	-6.646391	2.76885	0.84567
BelleairBlvd	F04R22	Post	Pleosporaceae	27424	0.0172870343130962	-7.339538	2.8362	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	35226	0.0123052762989873	-7.339538	2.8362	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	11414	0.0111134674343555	-6.646391	2.76885	0.84567
BelleairBlvd	F04R22	Post	Pleosporaceae	40554	0.0177407728183578	-6.646391	3.3291	0.84567
BelleairBlvd	F04R22	Post	Pleosporaceae	33947	0.0177776677872191	-7.339538	2.8362	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	16930	0.00938452109507373	-7.339538	2.8362	0.49222
BelleairBlvd	F04R22	Post	Pleosporaceae	15747	0.00690310477501376	-1.016972	7.3825	3.94447
BelleairBlvd	F04R22	Post	Pleosporaceae	24172	0.00690310477501376	-0.942608	6.8675	3.97757
BelleairBlvd	F04R22	Post	Pleosporaceae	40167	0.0173203245771206	-7.339538	2.28425	0.49222
